date,total_duration,carbon_emissions,layovers,airline,airplane
2025-03-02,620,456000,1,Turkish Airlines,Airbus A330
2025-03-02,400,428000,0,Air France,Boeing 777
2025-03-02,400,463000,0,Emirates,Airbus A380
2025-03-02,1450,328000,1,easyJet,Unknown
2025-03-02,1165,482000,2,ITA,Airbus A319
2025-03-02,1165,482000,2,ITA,Airbus A319
2025-03-02,640,480000,1,Turkish Airlines,Airbus A350
2025-03-02,635,448000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-02,560,420000,1,SWISS,Airbus A320
2025-03-02,405,452000,0,Air France,Boeing 777
2025-03-02,505,444000,1,Gulf Air,Airbus A321neo
2025-03-02,405,445000,0,Emirates,Airbus A380
2025-03-02,410,461000,0,Emirates,Airbus A380
2025-03-03,560,421000,1,SWISS,Airbus A321
2025-03-03,400,428000,0,Air France,Boeing 777
2025-03-03,400,463000,0,Emirates,Airbus A380
2025-03-03,1410,403000,2,easyJet,Unknown
2025-03-03,640,454000,1,ITA,Airbus A321neo
2025-03-03,620,439000,1,Turkish Airlines,Airbus A330
2025-03-03,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-03,505,449000,1,Gulf Air,Airbus A321neo
2025-03-03,405,452000,0,Air France,Boeing 777
2025-03-03,410,461000,0,Emirates,Airbus A380
2025-03-03,405,445000,0,Emirates,Airbus A380
2025-03-04,560,419000,1,SWISS,Airbus A321 (Sharklets)
2025-03-04,620,378000,1,Lufthansa,Airbus A320
2025-03-04,610,522000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-04,400,428000,0,Air France,Boeing 777
2025-03-04,400,463000,0,Emirates,Airbus A380
2025-03-04,1510,428000,2,easyJet,Unknown
2025-03-04,620,487000,1,Turkish Airlines,Airbus A330
2025-03-04,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-04,405,452000,0,Air France,Boeing 777
2025-03-04,505,444000,1,Gulf Air,Airbus A321neo
2025-03-04,410,461000,0,Emirates,Airbus A380
2025-03-04,405,445000,0,Emirates,Airbus A380
2025-03-05,560,419000,1,SWISS,Airbus A321 (Sharklets)
2025-03-05,620,386000,1,Lufthansa,Airbus A321
2025-03-05,620,522000,1,Turkish Airlines,Airbus A330
2025-03-05,400,428000,0,Air France,Boeing 777
2025-03-05,405,445000,0,Emirates,Airbus A380
2025-03-05,1475,347000,2,easyJet,Unknown
2025-03-05,580,455000,1,Lufthansa,Airbus A319
2025-03-05,640,469000,1,Turkish Airlines,Airbus A350
2025-03-05,405,452000,0,Air France,Boeing 777
2025-03-05,505,449000,1,Gulf Air,Airbus A321neo
2025-03-05,400,463000,0,Emirates,Airbus A380
2025-03-05,410,461000,0,Emirates,Airbus A380
2025-03-06,560,420000,1,SWISS,Airbus A320
2025-03-06,400,428000,0,Air France,Boeing 777
2025-03-06,400,463000,0,Emirates,Airbus A380
2025-03-06,1360,454000,1,ITA,Airbus A321neo
2025-03-06,1470,355000,2,easyJet,Unknown
2025-03-06,610,522000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-06,620,393000,1,Turkish Airlines,Airbus A330
2025-03-06,635,451000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-06,405,452000,0,Air France,Boeing 777
2025-03-06,505,447000,1,Gulf Air,Airbus A321neo
2025-03-06,410,461000,0,Emirates,Airbus A380
2025-03-06,405,445000,0,Emirates,Airbus A380
2025-03-07,560,461000,1,SWISS,Airbus A320
2025-03-07,525,448000,1,Lufthansa,Airbus A321
2025-03-07,400,397000,0,Air France,Boeing 777
2025-03-07,640,454000,1,ITA,Airbus A321neo
2025-03-07,640,469000,1,Turkish Airlines,Airbus A350
2025-03-07,620,487000,1,Turkish Airlines,Airbus A330
2025-03-07,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-07,510,395000,1,Lufthansa,Airbus A319
2025-03-07,405,452000,0,Air France,Boeing 777
2025-03-07,505,447000,1,Gulf Air,Airbus A321neo
2025-03-07,400,463000,0,Emirates,Airbus A380
2025-03-07,410,461000,0,Emirates,Airbus A380
2025-03-07,405,445000,0,Emirates,Airbus A380
2025-03-08,560,461000,1,SWISS,Airbus A320
2025-03-08,405,452000,0,Air France,Boeing 777
2025-03-08,400,428000,0,Air France,Boeing 777
2025-03-08,400,463000,0,Emirates,Airbus A380
2025-03-08,620,386000,1,Lufthansa,Airbus A321
2025-03-08,670,442000,1,Lufthansa,Airbus A320
2025-03-08,610,522000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-08,620,487000,1,Turkish Airlines,Airbus A330
2025-03-08,635,451000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-08,505,447000,1,Gulf Air,Airbus A321neo
2025-03-08,410,461000,0,Emirates,Airbus A380
2025-03-08,405,445000,0,Emirates,Airbus A380
2025-03-09,560,472000,1,SWISS,Embraer 195
2025-03-09,400,428000,0,Air France,Boeing 777
2025-03-09,400,463000,0,Emirates,Airbus A380
2025-03-09,1450,328000,1,easyJet,Unknown
2025-03-09,710,462000,1,SWISS,Airbus A220-300 Passenger
2025-03-09,535,566000,1,Lufthansa,Airbus A321
2025-03-09,640,506000,1,Turkish Airlines,Airbus A330
2025-03-09,620,487000,1,Turkish Airlines,Airbus A330
2025-03-09,635,451000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-09,405,452000,0,Air France,Boeing 777
2025-03-09,505,444000,1,Gulf Air,Airbus A321neo
2025-03-09,405,445000,0,Emirates,Airbus A380
2025-03-09,410,461000,0,Emirates,Airbus A380
2025-03-10,640,454000,1,ITA,Airbus A321neo
2025-03-10,560,461000,1,SWISS,Airbus A320
2025-03-10,400,428000,0,Air France,Boeing 777
2025-03-10,1165,468000,2,ITA,Airbus A320neo
2025-03-10,1165,460000,2,ITA,Airbus A320neo
2025-03-10,1165,469000,2,ITA,Airbus A320neo
2025-03-10,1510,423000,2,easyJet,Unknown
2025-03-10,580,563000,1,Lufthansa,Airbus A320
2025-03-10,640,481000,1,Turkish Airlines,Boeing 787
2025-03-10,620,439000,1,Turkish Airlines,Airbus A330
2025-03-10,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-10,405,452000,0,Air France,Boeing 777
2025-03-10,400,463000,0,Emirates,Airbus A380
2025-03-10,410,461000,0,Emirates,Airbus A380
2025-03-10,405,445000,0,Emirates,Airbus A380
2025-03-10,505,449000,1,Gulf Air,Airbus A321neo
2025-03-11,640,454000,1,ITA,Airbus A321neo
2025-03-11,560,461000,1,SWISS,Airbus A320
2025-03-11,405,452000,0,Air France,Boeing 777
2025-03-11,1680,368000,2,easyJet,Unknown
2025-03-11,620,378000,1,Lufthansa,Airbus A320
2025-03-11,610,522000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-11,620,487000,1,Turkish Airlines,Airbus A330
2025-03-11,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-11,505,444000,1,Gulf Air,Airbus A321neo
2025-03-11,400,463000,0,Emirates,Airbus A380
2025-03-11,405,445000,0,Emirates,Airbus A380
2025-03-11,410,461000,0,Emirates,Airbus A380
2025-03-12,640,454000,1,ITA,Airbus A321neo
2025-03-12,560,460000,1,SWISS,Airbus A321 (Sharklets)
2025-03-12,400,428000,0,Air France,Boeing 777
2025-03-12,400,463000,0,Emirates,Airbus A380
2025-03-12,1430,391000,2,easyJet,Unknown
2025-03-12,580,455000,1,Lufthansa,Airbus A319
2025-03-12,620,464000,1,Turkish Airlines,Airbus A330
2025-03-12,635,481000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-12,405,452000,0,Air France,Boeing 777
2025-03-12,505,449000,1,Gulf Air,Airbus A321neo
2025-03-12,410,461000,0,Emirates,Airbus A380
2025-03-12,405,445000,0,Emirates,Airbus A380
2025-03-13,640,454000,1,ITA,Airbus A321neo
2025-03-13,560,452000,1,SWISS,Airbus A320neo
2025-03-13,400,428000,0,Air France,Boeing 777
2025-03-13,580,563000,1,Lufthansa,Airbus A320
2025-03-13,610,522000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-13,620,393000,1,Turkish Airlines,Airbus A330
2025-03-13,635,451000,1,Turkish Airlines,Airbus A321 (Sharklets)
2025-03-13,405,452000,0,Air France,Boeing 777
2025-03-13,505,439000,1,Gulf Air,Airbus A321neo
2025-03-13,400,463000,0,Emirates,Airbus A380
2025-03-13,410,461000,0,Emirates,Airbus A380
2025-03-13,405,445000,0,Emirates,Airbus A380
2025-03-14,560,460000,1,SWISS,Airbus A321 (Sharklets)
2025-03-14,640,454000,1,ITA,Airbus A321neo
2025-03-14,400,397000,0,Air France,Boeing 777
2025-03-14,1165,468000,2,ITA,Airbus A320neo
2025-03-14,1165,469000,2,ITA,Airbus A320neo
2025-03-14,1400,414000,2,easyJet,Unknown
2025-03-14,620,368000,1,Lufthansa,Airbus A320neo
