id,out_duration,return_duration,out_time,return_time,out_stops,out_airline,price,scraped_time
1,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,952.0,2024-12-29 11:12:46
2,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,892.0,2024-12-29 11:12:46
3,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 11:12:46
13,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,952.0,2024-12-29 11:02:09
14,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,892.0,2024-12-29 11:02:09
15,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 11:02:09
25,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:59:54
26,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,892.0,2024-12-29 10:59:54
27,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:59:54
37,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:53:55
38,6h 40min,7h 20min,10:00 – 19:40,14:40 – 20:00,direct,Emirates,892.0,2024-12-29 10:53:55
39,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:53:55
49,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:49:54
50,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:49:54
51,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:16:05
52,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 10:16:05
53,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,855.0,2024-12-29 09:15:24
54,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,855.0,2024-12-29 09:15:24
